__v,_id,description,owner,token_id,token_id_old
0,61f6dc7d9c729c57a230799f,Apt #9 - Floor #92 - Tower #1 - Standard,0xadf0ef40f1db919b672b74ef5b567ecebaa9d024,109209,2206774564966433947166689696507183869586471703389774980152762788456595193857
0,61f6dc7d9c729c57a23079a4,Apt #4 - Floor #92 - Tower #1 - Standard,0xb68108dce8e61cc6c800ad79cd9604e5f41124db,109204,2206774564966433947166689696507183869586471703389774980152762782959037054977
0,61f6dc7d9c729c57a23079a0,Apt #8 - Floor #92 - Tower #1 - Standard,0xe80087d9a345a1603c5e32d9c38ac159babf0cdc,109208,2206774564966433947166689696507183869586471703389774980152762787357083566081
0,61f6dc7d9c729c57a23079aa,Apt #21 - Floor #94 - Tower #1 - Luxury,0x642b15a995980eccb49e6475f44975ff1f50dab8,109421,2206774564966433947166689696507183869586471703389774980152762776361967288321
0,61f6dc7d9c729c57a23079a7,Apt #1 - Floor #92 - Tower #1 - Standard,0x8d519ed965768e1f603c38c2afdbad2e80ae6fd0,109201,2206774564966433947166689696507183869586471703389774980152762779660502171649
0,61f6dc7d9c729c57a23079a9,Apt #22 - Floor #94 - Tower #1 - Luxury,0x8ec10310c36bb8300d57df7f705b59838e1f56aa,109422,2206774564966433947166689696507183869586471703389774980152762777461478916097
0,61f6dc7d9c729c57a23079ac,Apt #19 - Floor #94 - Tower #1 - Standard,0xea15534dcd3a12c78345357d0d496f7fa85a5b71,109419,2206774564966433947166689696507183869586471703389774980152762774162944032769
0,61f6dc7d9c729c57a23079ad,Apt #18 - Floor #94 - Tower #1 - Standard,0xf4ec7d4ccd33b8f4b028d224ea33178048beffae,109418,2206774564966433947166689696507183869586471703389774980152762773063432404993
0,61f6dc7d9c729c57a23079a6,Apt #2 - Floor #92 - Tower #1 - Standard,0xa928052965e5e989927cdbbb77e408033c8e6506,109202,2206774564966433947166689696507183869586471703389774980152762780760013799425
0,61f6dc7d9c729c57a23079ab,Apt #20 - Floor #94 - Tower #1 - Standard,0x906b346a7d88d8ec5eb0749fed160702f58bf425,109420,2206774564966433947166689696507183869586471703389774980152762775262455660545
0,61f6dc7d9c729c57a23079a8,Apt #4 - Floor #97 - Tower #1 - Standard,0x7b1b67a10aec6247f0d0b3060ede29db6e7f19a5,109704,2206774564966433947166689696507183869586471703389774980152762778560990543873
0,61f6dc7d9c729c57a23079b0,Apt #15 - Floor #94 - Tower #1 - Standard,0xf3e437fa4f110992432fa9c85f5b26995fe2423d,109415,2206774564966433947166689696507183869586471703389774980152762769764897521665
0,61f6dc7d9c729c57a23079af,Apt #16 - Floor #94 - Tower #1 - Standard,0xb3a52bb1b496289b86136d6ad386cae86b2c71c3,109416,2206774564966433947166689696507183869586471703389774980152762770864409149441
0,61f6dc7d9c729c57a23079ae,Apt #17 - Floor #94 - Tower #1 - Standard,0xd51746b38ff9934af7657de5ab09ed3ad14da156,109417,2206774564966433947166689696507183869586471703389774980152762771963920777217
0,61f6dc7d9c729c57a23079b2,Apt #13 - Floor #94 - Tower #1 - Standard,0x1d58872c76a7b898d47f774a29fffb9bcf010162,109413,2206774564966433947166689696507183869586471703389774980152762767565874266113
0,61f6dc7d9c729c57a23079b1,Apt #14 - Floor #94 - Tower #1 - Standard,0x84dc4343f50ac947954bb1c4aca7145d92b9c642,109414,2206774564966433947166689696507183869586471703389774980152762768665385893889
0,61f6dc7d9c729c57a23079b3,Apt #12 - Floor #94 - Tower #1 - Standard,0x522ea6affb2a0a1372bf3e5d0507704de6c36b4e,109412,2206774564966433947166689696507183869586471703389774980152762766466362638337
0,61f6dc7d9c729c57a23079b4,Apt #11 - Floor #94 - Tower #1 - Standard,0xcbde38ec5a7dea3526b6209010c64b44ee91b6c1,109411,2206774564966433947166689696507183869586471703389774980152762765366851010561
0,61f6dc7d9c729c57a23079b6,Apt #9 - Floor #94 - Tower #1 - Standard,0xbe04e156ca437c714f256494c974ef7d93d10833,109409,2206774564966433947166689696507183869586471703389774980152762763167827755009
0,61f6dc7d9c729c57a23079b5,Apt #10 - Floor #94 - Tower #1 - Standard,0x7d2e8d3e12078f98571a6f5120eb3bbacfd3aa81,109410,2206774564966433947166689696507183869586471703389774980152762764267339382785
0,61f6dc7d9c729c57a23079b8,Apt #7 - Floor #94 - Tower #1 - Standard,0x834959cea9e5b57e2fcad571f4cd6006d930deec,109407,2206774564966433947166689696507183869586471703389774980152762760968804499457
0,61f6dc7d9c729c57a23079ba,Apt #5 - Floor #94 - Tower #1 - Standard,0x4116739a3e79e20d59b511d7530b5e84cb1da17d,109405,2206774564966433947166689696507183869586471703389774980152762758769781243905
0,61f6dc7d9c729c57a23079b7,Apt #8 - Floor #94 - Tower #1 - Standard,0x0e90214128e1348b8787b196d4559f566a63451f,109408,2206774564966433947166689696507183869586471703389774980152762762068316127233
